# id, notional (int, orig hexified double), currency, payment date
0;40340000;EUR;42949;
0;40340000;EUR;54819;
0;40340000;GBP;42950;
0;40580000;GBP;43833;
0;4059c000;EUR;44565;
0;40598000;GBP;44136;
0;40520000;EUR;44871;
0;40514000;EUR;44440;
0;40b38800;JPY;43776;
0;40470000;EUR;43722;
0;40534000;GBP;44518;
0;40af4000;JPY;44632;
0;40534000;EUR;43173;
0;4092c000;JPY;43879;
0;4053c000;EUR;43508;
0;40508000;EUR;44043;
0;40438000;GBP;43092;
0;403d0000;USD;43571;
0;405b0000;USD;44787;
0;40540000;GBP;44065;
0;40594000;USD;44376;
0;40c03600;JPY;44806;
0;405a8000;GBP;44620;
0;40418000;USD;44555;
0;40470000;GBP;43277;
0;40438000;GBP;44796;
0;40410000;EUR;44707;
0;40b57c00;JPY;43232;
0;40460000;USD;45017;
0;404e0000;EUR;44093;
0;40c0cc00;JPY;43058;
0;40578000;EUR;43738;
0;40500000;EUR;44401;
0;40518000;USD;43382;
0;40488000;USD;43118;
0;40c2c000;JPY;44676;
0;40c48200;JPY;43489;
0;40560000;EUR;44584;
0;40c4e600;JPY;43151;
0;40598000;USD;43667;
0;40260000;USD;44806;
0;40498000;GBP;43936;
0;404b0000;EUR;44839;
0;40438000;EUR;42990;
0;405ac000;EUR;44067;
0;40554000;GBP;43331;
0;40534000;USD;43977;
0;40b89c00;JPY;44047;
0;40300000;EUR;43615;
0;40410000;USD;43969;
0;40450000;GBP;43121;
0;40a6a800;JPY;42953;
0;40320000;EUR;44318;
